"","CreditScore","FirstPmt","FirstTimeHomebuyer","Maturity Date","MSA Code","MI Percentage","Number of Units","Occupancy Status","CLTV","DTI","UPB","LTV","Interest Rate","Channel","PPM","Product","State","Property Type","Postal Code","Loan Sequence Number","Loan Purpose","Original Term","Borrower Num","Seller Name","Servicer Name","Super Conforming","NPV"
"772","666","199903","2","202902","48620",NA,"1","2","79","36","110000","79","7.125","3","2","1","18","5","67200","772","3","360","1","326","17",NA,"18042.8447809145"
"773","701","199903","2","202902","36084","0","1","2","80","20","216000","80","7.125","4","2","1","5","6","94500","773","2","360","2","299","10",NA,"20382.6888324733"
"774","770","199903","2","202902","16620","0","1","2","50","20","125000","50","6.875","4","2","1","52","6","25300","774","2","360","2","299","10",NA,"20053.9964648355"
"775","743","199903","2","202902","47644","0","1","2","70","27","110000","70","7","4","2","1","24","6","48300","775","2","360","2","299","10",NA,"14155.8177043671"
"776","740","199903","2","202902","20764","0","1","2","74","22","115000","74","7","4","2","1","33","6","8800","776","1","360","2","299","10",NA,"15426.2944647481"
"777","765","199903","2","202902",NA,"0","1","2","72","20","101000","72","7.125","3","2","1","34","6","88300","777","2","360","2","299","3",NA,"48257.0036276983"
"778","709","199903","2","202902","16974","0","1","2","75","34","143000","75","7.25","4","2","1","16","6","60400","778","1","360","2","299","10",NA,"18483.6412540174"
"779","676","199903","3","202902","42020","0","1","2","76","36","119000","76","6.75","3","3","1","5","5","93400","779","3","360","2","299","10",NA,"20762.3856180724"
"780","755","199903","2","202902","19740","0","1","2","73","20","139000","73","6.875","3","3","1","6","6","80000","780","1","360","2","299","10",NA,"17198.9035631529"
"781","734","199903","2","202902","41740","0","1","2","79","19","194000","79","6.625","4","3","1","5","5","92100","781","2","360","2","299","10",NA,"7040.01709322401"
"782","743","199903","2","202902","41500","0","1","2","54","32","240000","54","6.75","4","2","1","5","6","93900","782","1","360","2","299","10",NA,"11287.2881158485"
"783","730","199903","3","202902","11100","0","1","2","50","34","59000","50","6.875","3","2","1","46","6","79100","783","3","360","1","299","10",NA,"6297.23916901936"
"784","631","199903","2","202902","47644","0","1","2","33","28","98000","33","7","4","2","1","24","6","48300","784","2","360","2","299","10",NA,"12286.2317167383"
"785","762","199903","2","202902","42044","0","1","2","42","17","151000","42","7.125","4","2","1","5","6","92600","785","1","360","2","299","10",NA,"12292.3425116308"
"786","758","199903","2","202902","46140","0","1","2","79","16","108000","79","6.875","3","3","1","38","5","74000","786","2","360","2","299","10",NA,"20925.9292512148"
"787","666","199903","2","202902",NA,"0","1","2","53","9","60000","53","7.375","4","2","1","34","6","87700","787","1","360","1","299","10",NA,"15727.7544190725"
"788","698","199903","2","202902","37764","0","1","2","49","41","65000","49","7.25","4","2","1","21","6","1800","788","1","360","1","299","17",NA,"26095.7007742768"
"789","668","199903","2","202902","17820","0","1","2","80","21","212000","80","7","3","3","1","6","6","80900","789","2","360","2","299","10",NA,"45876.4348760453"
"790","728","199903","2","202902","31084","0","1","2","62","30","212000","62","7","3","3","1","5","6","91000","790","1","360","2","299","10",NA,"40021.4209604019"
"791","713","199903","2","202902","23844","17","1","2","79","22","71000","79","7","4","2","1","17","6","46300","791","1","360","1","299","10",NA,"3555.04305678366"
"792","709","199903","3","202902","32580","30","1","2","95","36","34000","95","7.25","4","2","1","46","6","78500","792","3","360","1","299","3",NA,"14459.2044429456"
"793","695","199903","2","202902","42060","0","1","3","40","28","190000","40","7.375","4","2","1","5","6","93100","793","1","360","2","299","10",NA,"38050.2352703996"
